ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
952,Transient,A,242.05,396.71,6.21,242.0,84.55,19.53,1.95,25.25,3.0
953,Harmonics,A,224.58,317.61,11.98,235.0,55.55,37.27,4.33,,4.0
954,Swell,A,270.89,383.1,4.71,174.0,91.06,42.06,3.73,34.02,2.0
955,Transient,B,234.95,393.96,4.0,197.0,48.22,11.88,4.23,30.2,3.0
956,,B,237.78,403.74,4.93,52.0,18.08,31.58,3.4,28.38,3.0
957,Sag,A,163.63,231.41,3.61,76.0,93.84,36.85,3.99,23.94,1.0
958,Normal,C,227.94,322.36,2.27,56.0,20.22,41.27,,24.98,0.0
959,Swell,A,275.72,389.93,4.1,94.0,,12.66,2.02,25.26,2.0
960,,B,239.23,,3.85,241.0,79.44,20.81,4.25,26.39,3.0
961,Harmonics,C,228.41,323.03,12.39,126.0,20.53,13.32,1.45,26.83,4.0
962,Normal,B,239.53,338.74,3.16,120.0,53.52,12.1,4.06,29.85,0.0
963,Transient,B,230.84,403.39,3.28,23.0,79.11,6.82,1.49,,3.0
964,Swell,A,271.04,383.32,3.1,285.0,62.76,21.08,3.31,26.85,2.0
965,Harmonics,C,222.7,314.95,12.81,63.0,22.31,23.75,2.54,30.68,4.0
966,Normal,C,226.69,320.59,2.06,,56.04,47.46,1.17,30.06,0.0
967,Harmonics,A,233.04,329.57,11.92,125.0,36.91,30.19,1.03,21.65,4.0
968,Transient,A,231.15,402.47,3.87,275.0,92.81,26.16,1.12,33.8,3.0
969,Transient,A,239.72,402.45,4.98,28.0,64.72,9.71,2.82,24.78,3.0
970,Sag,B,153.21,216.67,4.0,23.0,84.94,14.04,2.81,33.84,
971,Sag,C,147.23,208.22,2.33,150.0,83.57,47.0,4.75,38.28,1.0
972,Transient,B,235.57,418.78,3.39,104.0,86.39,18.42,3.39,30.06,3.0
973,Normal,C,235.61,333.21,,93.0,,28.92,4.49,33.75,0.0
974,Transient,B,228.83,405.83,5.05,279.0,82.45,5.88,,22.88,3.0
975,Harmonics,C,228.93,323.76,13.76,249.0,87.59,42.76,3.61,30.05,4.0
976,Swell,,286.22,404.77,5.13,288.0,42.12,9.87,2.68,34.54,2.0
977,Sag,A,143.03,,3.24,17.0,45.03,19.1,2.85,27.8,1.0
978,Swell,A,279.78,395.66,2.91,188.0,80.34,46.89,1.98,31.54,2.0
979,Harmonics,B,232.58,328.91,8.05,77.0,12.39,30.29,,26.82,4.0
980,Transient,A,232.57,377.13,5.58,134.0,82.33,28.92,1.75,28.51,3.0
981,,B,230.66,326.2,2.48,29.0,25.14,36.22,3.58,33.75,0.0
982,Transient,B,238.01,417.48,3.8,20.0,65.07,21.81,,36.71,3.0
983,Sag,A,120.06,169.79,3.91,188.0,71.18,30.14,3.5,21.93,1.0
984,Harmonics,A,230.27,325.64,12.6,130.0,86.69,30.16,3.13,28.05,4.0
985,Normal,B,243.55,344.44,1.97,215.0,51.25,34.68,4.66,21.8,0.0
986,Swell,C,284.05,401.7,5.16,147.0,34.53,44.22,2.94,26.11,2.0
987,Sag,B,150.22,212.45,4.08,71.0,99.73,24.15,2.39,34.2,1.0
988,Swell,A,268.29,379.42,4.75,255.0,86.15,38.11,1.85,22.91,2.0
989,Harmonics,B,227.61,321.89,9.87,35.0,56.51,41.86,3.19,,4.0
990,Normal,C,232.6,328.95,1.92,71.0,36.61,31.15,4.78,,0.0
991,Transient,C,226.19,411.21,4.17,274.0,87.19,16.98,,22.14,
992,Swell,C,278.02,393.18,4.87,216.0,75.04,14.2,2.35,29.4,2.0
993,Sag,A,142.62,201.7,2.62,127.0,98.19,15.16,3.45,28.66,1.0
994,Sag,C,165.98,234.74,,125.0,36.0,8.88,4.75,27.56,1.0
995,Transient,,225.7,389.5,3.35,74.0,48.95,,2.06,34.09,3.0
996,Transient,B,219.67,442.43,4.58,145.0,59.56,16.28,2.59,28.56,3.0
997,Harmonics,B,219.87,310.95,11.88,257.0,94.52,16.25,3.14,33.79,4.0
998,Transient,C,238.1,410.61,2.73,163.0,52.76,40.7,2.44,38.78,3.0
999,Sag,C,167.4,236.73,3.09,104.0,55.73,7.83,4.34,35.69,1.0
1000,Sag,A,138.79,196.28,2.99,77.0,25.22,10.68,4.73,32.1,1.0
1001,Normal,B,231.7,327.67,1.22,284.0,40.02,14.85,2.99,25.54,0.0
1002,Swell,A,264.59,374.18,2.73,144.0,49.46,,4.08,32.44,2.0
1003,,C,226.9,386.1,5.44,202.0,27.23,12.53,1.72,33.44,3.0
1004,Normal,A,236.89,335.01,2.48,266.0,83.28,45.68,1.06,38.68,0.0
1005,Transient,B,234.68,370.97,4.86,185.0,71.07,30.68,4.78,28.86,3.0
1006,Swell,C,258.57,365.67,3.18,95.0,81.27,31.24,4.64,38.84,2.0
1007,Harmonics,C,221.68,313.5,12.65,177.0,81.09,33.55,3.13,27.85,4.0
1008,Harmonics,C,232.4,328.67,9.16,277.0,56.87,25.18,2.02,22.41,4.0
1009,Swell,C,286.87,405.69,3.17,143.0,66.26,20.24,1.51,28.29,2.0
1010,Sag,B,160.9,227.54,4.07,155.0,50.32,13.5,2.07,30.69,1.0
1011,,C,271.22,383.57,3.08,120.0,37.37,39.69,2.31,24.84,2.0
1012,Swell,C,278.29,,2.75,268.0,39.77,13.04,4.06,35.73,2.0
1013,Harmonics,B,,324.61,,81.0,56.97,34.87,2.52,34.39,4.0
1014,Normal,A,230.18,325.53,2.06,120.0,99.7,45.2,3.05,36.51,0.0
1015,Normal,B,236.11,333.91,2.8,264.0,29.94,28.04,3.2,30.77,0.0
1016,Harmonics,A,239.68,338.95,8.1,239.0,58.7,8.98,1.11,35.82,4.0
1017,Harmonics,A,230.09,325.4,13.63,199.0,,16.36,3.93,23.29,4.0
1018,Swell,C,261.54,369.88,2.22,10.0,43.11,29.99,1.4,36.1,2.0
1019,Normal,B,229.24,324.19,2.24,100.0,,32.73,2.71,23.65,0.0
1020,Normal,A,224.17,317.03,1.24,52.0,57.71,11.2,2.48,34.44,0.0
1021,Transient,C,239.91,391.11,6.81,227.0,32.6,32.19,4.52,26.49,3.0
1022,Swell,C,271.46,383.9,3.19,64.0,28.15,8.52,4.15,36.71,2.0
1023,Transient,,226.02,411.34,3.84,220.0,59.2,36.92,1.2,21.39,3.0
1024,Sag,B,163.89,231.77,3.14,105.0,49.89,33.47,4.45,,1.0
1025,Transient,,229.45,396.32,3.84,246.0,36.82,5.53,2.2,31.56,3.0
1026,Normal,C,238.33,337.05,1.75,209.0,83.15,34.92,2.36,21.41,0.0
1027,Harmonics,B,230.64,,8.5,258.0,78.78,29.28,1.52,30.53,4.0
1028,Swell,C,272.7,385.65,2.37,90.0,38.09,5.57,1.38,25.94,2.0
1029,Transient,A,235.15,400.79,2.87,29.0,77.85,9.97,2.87,21.42,3.0
1030,Swell,B,264.75,374.42,,142.0,29.18,32.72,2.5,39.68,2.0
1031,Normal,B,226.35,320.11,2.47,285.0,84.58,42.03,1.76,,0.0
1032,Swell,B,287.34,406.36,4.17,121.0,25.41,9.7,1.95,27.6,2.0
1033,Transient,B,230.18,396.57,3.38,189.0,81.34,44.94,2.13,28.76,3.0
1034,Transient,C,230.92,404.27,4.21,30.0,37.44,49.56,1.3,33.24,3.0
1035,Transient,B,229.52,434.61,1.63,81.0,20.89,12.59,2.26,31.88,3.0
1036,Harmonics,C,230.98,326.65,8.32,161.0,24.42,5.35,4.01,22.13,4.0
1037,Normal,C,228.44,323.06,3.14,78.0,25.24,42.44,3.29,31.68,0.0
1038,Sag,,150.54,212.89,2.93,260.0,76.24,30.06,4.72,27.56,1.0
1039,Sag,C,142.1,200.96,3.09,180.0,57.91,8.41,3.79,32.48,1.0
1040,Swell,B,265.02,374.79,4.21,125.0,39.01,32.47,4.76,33.43,2.0
1041,Harmonics,B,223.62,316.25,8.3,66.0,75.65,48.38,1.62,24.55,4.0
1042,Swell,A,248.23,351.05,2.01,87.0,79.7,6.52,3.37,23.73,2.0
1043,Transient,C,219.75,359.02,4.43,224.0,47.48,25.29,4.31,21.96,3.0
1044,Normal,A,236.95,335.1,2.66,103.0,55.64,40.38,4.53,,0.0
1045,Normal,B,231.71,327.69,2.96,100.0,40.62,32.94,4.56,29.92,0.0
1046,Swell,C,277.6,392.59,3.11,267.0,28.58,35.93,2.41,34.26,2.0
1047,Normal,B,226.69,320.59,1.76,94.0,46.49,20.17,1.06,23.07,0.0
1048,Sag,B,144.87,204.88,3.49,77.0,42.01,40.6,3.04,22.56,1.0
1049,Sag,B,135.1,191.07,2.35,,54.8,20.44,1.97,27.97,1.0
1050,Normal,B,237.39,335.73,2.05,299.0,54.12,21.12,4.31,20.45,0.0
1051,Transient,C,233.31,383.54,3.44,116.0,97.47,43.26,3.83,25.81,3.0
1052,Sag,A,158.18,223.7,2.15,103.0,16.44,22.53,3.97,27.73,1.0
1053,Swell,A,276.08,390.44,3.18,182.0,96.09,42.96,3.75,25.9,2.0
1054,Harmonics,C,236.69,,7.31,214.0,64.27,41.14,4.17,23.86,4.0
1055,Sag,B,143.63,203.12,3.02,158.0,47.47,42.48,4.95,26.36,1.0
1056,Harmonics,B,225.45,318.84,7.59,185.0,30.24,28.38,3.25,38.9,4.0
1057,Transient,C,227.48,386.75,2.71,242.0,64.02,10.31,1.23,28.24,3.0
1058,Normal,C,234.83,332.1,2.35,92.0,44.92,12.2,2.59,31.6,0.0
1059,Transient,A,230.07,384.63,5.15,141.0,38.17,41.89,3.22,29.01,3.0
1060,Sag,A,129.32,182.89,1.47,99.0,34.73,9.92,3.64,26.38,1.0
1061,,C,227.26,321.39,10.43,244.0,46.08,14.3,1.8,30.13,4.0
1062,Swell,B,,,3.5,247.0,41.72,29.97,1.75,37.19,2.0
1063,Sag,A,158.82,224.61,2.79,45.0,16.62,33.31,4.17,22.65,1.0
1064,Sag,B,113.99,161.21,3.99,206.0,96.96,41.95,1.82,23.72,1.0
1065,Transient,C,234.51,365.87,4.53,245.0,38.22,42.74,2.71,34.53,3.0
1066,Swell,B,258.69,365.84,4.39,191.0,70.33,33.91,4.72,36.83,2.0
1067,Sag,C,149.8,211.85,2.02,205.0,98.67,16.14,1.32,21.4,1.0
1068,Normal,C,233.77,330.6,2.07,149.0,69.14,37.95,2.42,36.41,0.0
1069,Harmonics,A,226.43,320.22,13.54,126.0,47.92,40.72,2.86,30.75,4.0
1070,Transient,B,238.19,371.37,3.07,118.0,14.7,9.3,3.64,32.94,
1071,Normal,A,221.92,313.84,1.83,274.0,56.26,30.79,4.7,32.91,0.0
1072,Swell,B,270.12,382.01,3.15,226.0,60.39,40.54,3.96,32.5,2.0
1073,Transient,C,228.59,396.2,5.1,137.0,96.14,36.36,3.38,29.21,3.0
1074,Transient,B,234.32,373.79,6.03,281.0,99.5,49.1,4.53,31.5,3.0
1075,Normal,C,232.1,328.24,2.35,112.0,74.69,32.16,4.67,21.0,0.0
1076,Harmonics,B,235.83,333.52,9.13,41.0,99.68,40.43,2.63,36.47,4.0
1077,Transient,A,232.22,411.58,5.8,137.0,66.07,5.31,,,3.0
1078,Sag,C,151.06,213.63,2.36,88.0,53.32,8.53,3.24,26.64,1.0
1079,Harmonics,A,230.37,325.79,13.58,271.0,82.54,36.18,1.02,28.56,4.0
1080,Harmonics,B,234.84,332.11,7.71,27.0,74.1,31.09,1.69,25.23,4.0
1081,Normal,B,237.08,335.28,,167.0,48.06,30.46,2.46,38.72,0.0
1082,Swell,C,277.21,392.04,3.82,72.0,59.73,14.7,1.8,39.81,2.0
1083,Swell,A,279.76,395.65,4.43,230.0,71.18,42.39,1.17,20.46,2.0
1084,Swell,B,277.06,391.83,3.35,259.0,91.92,33.37,3.32,27.4,2.0
1085,Normal,B,231.81,327.83,1.73,258.0,23.49,16.88,4.79,27.34,0.0
1086,Sag,A,154.13,217.98,1.13,177.0,56.97,33.66,1.94,31.58,1.0
1087,Sag,C,147.8,209.03,2.68,264.0,44.75,40.41,3.48,21.65,1.0
1088,Harmonics,A,224.84,317.97,11.82,62.0,22.13,46.12,2.88,31.38,4.0
1089,Sag,B,128.48,181.7,3.44,101.0,49.86,19.33,3.89,36.03,1.0
1090,Normal,A,232.39,,1.28,143.0,87.17,5.01,2.45,34.75,0.0
1091,Sag,A,152.97,216.34,2.54,123.0,16.0,48.92,4.83,21.21,
1092,Harmonics,B,229.47,324.52,13.65,254.0,45.34,32.72,1.5,31.59,4.0
1093,Transient,C,232.96,398.4,3.0,56.0,13.01,41.71,2.8,26.5,3.0
1094,Sag,A,155.15,,3.91,23.0,90.78,47.6,2.59,24.34,1.0
1095,Transient,C,229.83,408.21,4.74,53.0,14.86,39.33,3.81,31.96,3.0
1096,Swell,B,270.92,383.14,3.15,65.0,31.61,9.54,2.04,23.54,2.0
1097,Transient,C,231.5,415.35,5.45,116.0,38.01,,4.47,30.38,3.0
1098,Normal,B,233.71,330.52,1.81,52.0,65.74,15.45,1.0,35.14,0.0
1099,Transient,B,227.49,393.57,7.81,118.0,26.9,41.95,4.66,30.74,3.0
1100,Sag,C,150.89,213.39,2.51,216.0,50.75,15.95,4.51,34.86,1.0
1101,Swell,B,275.09,389.04,4.65,141.0,98.47,,1.81,28.84,2.0
1102,Swell,A,273.95,387.42,3.27,33.0,54.73,6.44,3.45,34.32,2.0
1103,Sag,A,136.64,,4.07,292.0,84.51,22.23,,34.42,1.0
1104,Normal,C,231.21,326.97,1.14,107.0,53.99,23.36,1.85,29.65,0.0
1105,Transient,A,239.83,409.34,4.08,156.0,35.64,6.09,3.5,25.05,3.0
1106,Normal,A,240.91,340.69,2.12,36.0,99.13,35.74,3.57,20.3,0.0
1107,Harmonics,B,225.8,319.32,10.61,37.0,49.13,14.03,1.43,28.8,4.0
1108,,C,,323.77,2.16,16.0,,26.12,4.7,27.95,0.0
1109,Harmonics,C,225.82,319.36,9.79,280.0,52.97,27.26,2.96,30.78,4.0
1110,Transient,A,236.07,380.57,2.04,258.0,50.98,41.47,4.31,28.23,3.0
1111,Swell,C,270.45,382.48,3.38,,88.63,25.78,1.08,24.55,2.0
1112,Harmonics,A,226.49,320.31,8.28,,78.64,24.23,3.51,34.55,4.0
1113,Swell,A,,396.23,1.15,144.0,90.19,19.99,1.59,21.93,2.0
1114,Normal,A,231.71,327.69,1.52,237.0,71.2,8.86,2.84,34.87,0.0
1115,,C,226.41,320.19,11.9,108.0,29.06,43.3,2.71,39.24,4.0
1116,Swell,A,283.25,400.58,,58.0,39.81,10.34,3.28,38.13,2.0
1117,Harmonics,A,222.48,314.64,12.99,38.0,18.21,35.55,3.9,39.3,4.0
1118,Harmonics,B,231.67,327.63,12.81,242.0,70.49,32.33,2.66,27.59,4.0
1119,Harmonics,C,234.32,331.37,8.78,236.0,81.96,31.13,,26.65,4.0
1120,Normal,C,230.24,,1.11,45.0,75.36,27.95,1.52,35.0,0.0
1121,Swell,A,259.5,366.98,4.35,18.0,11.06,31.45,3.01,37.47,
1122,Swell,,260.75,368.75,2.42,54.0,94.81,42.04,1.17,29.42,2.0
1123,Normal,B,229.22,324.17,1.75,229.0,65.04,40.06,3.88,29.94,0.0
1124,Transient,B,241.62,392.58,4.33,67.0,43.73,46.65,4.32,22.18,3.0
1125,Normal,,235.31,332.78,1.6,215.0,22.93,28.51,1.03,26.33,0.0
1126,Transient,C,232.56,421.52,4.27,45.0,58.98,11.95,2.0,34.77,3.0
1127,Swell,B,267.97,378.97,3.67,259.0,33.27,37.59,4.63,24.71,2.0
1128,Harmonics,C,230.5,325.98,9.36,,53.01,15.06,3.82,23.82,4.0
1129,Harmonics,A,227.53,321.77,5.55,253.0,88.52,37.04,3.32,21.78,4.0
1130,,B,142.84,202.01,3.94,103.0,97.17,25.5,4.32,39.5,1.0
1131,Sag,A,149.96,212.07,2.75,64.0,35.62,39.43,2.88,26.35,1.0
1132,Harmonics,B,227.28,321.43,13.79,272.0,,44.95,4.83,37.35,4.0
1133,Normal,B,227.02,321.06,1.03,109.0,64.14,32.28,2.46,38.09,0.0
1134,Normal,C,228.74,323.49,1.89,56.0,66.97,7.39,1.97,35.91,0.0
1135,Sag,B,156.82,221.78,3.95,242.0,41.18,5.87,4.3,22.85,1.0
1136,Harmonics,B,230.54,,12.99,158.0,59.08,7.3,3.98,30.11,4.0
1137,Normal,C,230.44,325.89,2.19,250.0,97.57,11.89,2.08,31.81,0.0
1138,Sag,C,152.38,215.49,2.79,29.0,95.53,8.26,2.18,23.87,1.0
1139,Harmonics,C,227.47,321.69,10.72,100.0,58.27,17.36,2.92,34.91,4.0
1140,Harmonics,,232.72,329.12,11.35,52.0,86.22,21.94,2.19,37.79,4.0
1141,Normal,C,236.22,334.07,2.43,35.0,51.04,20.5,3.77,35.19,0.0
1142,Sag,C,145.25,205.42,2.3,129.0,95.05,7.17,1.0,32.0,1.0
1143,Swell,A,268.26,379.38,4.84,111.0,11.82,28.58,3.02,30.51,2.0
1144,Normal,C,230.08,325.38,1.82,120.0,26.12,9.65,1.21,28.72,0.0
1145,Normal,C,232.02,328.13,1.65,90.0,39.41,,4.83,34.69,0.0
1146,Normal,C,235.18,332.59,2.37,78.0,14.45,43.19,1.04,38.74,0.0
1147,Sag,C,138.61,196.02,3.11,221.0,64.01,36.99,2.22,30.19,1.0
1148,Sag,C,133.5,188.8,3.74,122.0,29.37,7.97,3.13,21.24,1.0
1149,Normal,C,222.4,314.52,0.9,217.0,16.05,16.39,4.23,23.34,0.0
1150,,A,240.0,339.41,7.65,78.0,65.83,29.49,3.96,34.12,4.0
1151,Swell,B,268.13,379.19,4.53,108.0,62.43,8.2,4.57,20.62,2.0
1152,Harmonics,B,235.58,333.16,10.7,189.0,37.21,40.81,2.34,20.06,4.0
1153,Sag,B,140.97,199.37,5.7,149.0,65.12,38.21,4.07,38.11,1.0
1154,Swell,A,281.7,398.39,5.01,255.0,29.01,22.19,3.17,29.36,2.0
1155,Swell,C,264.03,373.39,3.71,,73.9,5.9,3.28,,2.0
1156,Swell,A,271.36,383.77,3.51,200.0,49.07,46.78,3.36,32.6,2.0
1157,Swell,A,260.3,368.12,2.15,52.0,97.88,45.58,1.51,36.47,2.0
1158,Normal,B,234.19,331.2,,61.0,57.68,19.48,1.3,37.91,0.0
1159,Transient,B,229.75,421.1,8.03,210.0,87.38,36.51,3.19,32.19,3.0
1160,Sag,B,163.63,231.4,3.09,202.0,92.01,23.17,1.83,32.97,
1161,Harmonics,A,226.72,320.62,9.09,110.0,63.47,41.05,2.59,24.24,4.0
1162,Transient,B,232.43,396.31,4.69,176.0,19.88,30.79,1.1,27.94,3.0
1163,Normal,B,230.46,325.92,2.62,183.0,65.56,23.23,2.22,33.65,0.0
1164,Transient,C,229.66,411.03,6.22,52.0,61.47,45.24,2.9,38.9,3.0
1165,Transient,C,234.13,420.27,3.3,187.0,98.53,22.66,2.45,26.37,3.0
1166,Normal,C,220.18,,2.58,243.0,34.72,37.88,4.33,34.3,0.0
1167,Normal,A,229.27,324.23,2.5,36.0,22.53,5.15,1.98,34.09,0.0
1168,Normal,C,226.8,320.75,1.69,52.0,77.37,24.67,3.82,31.35,0.0
1169,Normal,A,228.8,323.57,1.58,155.0,37.77,49.64,,22.57,0.0
1170,Swell,A,272.14,384.87,3.33,277.0,12.92,38.51,1.53,22.66,2.0
1171,Transient,B,223.86,395.81,7.65,236.0,69.6,10.23,3.22,25.74,3.0
1172,Sag,A,162.48,229.79,3.78,115.0,55.81,44.95,3.78,27.89,1.0
1173,Transient,A,224.39,403.68,7.61,80.0,42.77,43.36,4.03,32.21,3.0
1174,Normal,C,229.71,324.86,2.58,61.0,30.23,13.78,1.66,35.54,0.0
1175,Sag,C,147.64,208.79,3.14,207.0,,44.05,2.8,20.31,1.0
1176,Sag,A,161.39,228.24,5.09,295.0,12.75,17.75,2.99,20.9,1.0
1177,Harmonics,A,238.16,336.8,7.8,186.0,81.58,33.39,3.35,27.07,4.0
1178,Sag,C,165.63,234.23,2.98,213.0,89.99,17.15,3.67,36.13,1.0
1179,,,227.0,411.87,5.0,18.0,73.61,37.51,1.34,24.4,3.0
1180,Transient,A,232.92,343.89,5.57,177.0,21.76,12.8,2.36,28.17,3.0
1181,Transient,C,228.38,404.24,6.52,147.0,63.57,34.6,1.26,23.32,3.0
1182,Swell,B,265.54,375.53,5.21,290.0,20.62,42.49,3.82,31.55,2.0
1183,Swell,B,281.39,397.95,3.98,13.0,14.97,,1.51,33.95,2.0
1184,Normal,B,226.25,319.97,2.04,136.0,20.95,21.35,2.02,30.13,0.0
1185,Normal,A,235.89,333.6,2.47,24.0,52.77,43.46,2.89,37.37,0.0
1186,Swell,C,271.81,384.4,2.59,144.0,90.02,47.2,1.21,30.02,2.0
1187,Normal,A,230.56,326.06,1.12,122.0,78.72,27.99,3.23,28.23,0.0
1188,Normal,B,227.89,322.29,2.17,219.0,13.48,38.91,3.1,27.37,0.0
1189,Sag,A,,201.45,2.13,53.0,46.46,48.29,1.33,28.72,1.0
1190,Swell,C,278.29,393.56,4.95,,78.03,34.02,1.94,34.63,
1191,Sag,A,133.64,188.99,2.56,250.0,54.52,10.94,4.82,36.01,1.0
1192,Normal,B,235.24,332.68,2.72,269.0,47.06,26.32,2.66,36.84,0.0
1193,Swell,A,271.89,384.5,3.24,124.0,16.91,9.79,2.98,32.18,2.0
1194,Sag,A,137.23,194.07,,157.0,,42.55,2.68,31.54,1.0
1195,Swell,A,,394.76,4.2,16.0,15.05,31.61,4.43,29.61,2.0
1196,Harmonics,C,221.64,313.45,14.55,96.0,38.8,20.28,3.72,21.16,4.0
1197,Swell,A,281.46,398.05,2.22,221.0,17.28,44.37,4.44,28.07,2.0
1198,Sag,B,141.98,200.79,4.18,27.0,45.53,38.49,4.59,38.52,1.0
1199,Sag,A,146.71,207.48,2.3,31.0,47.04,12.14,4.69,20.05,1.0
1200,Sag,B,154.31,218.23,3.07,146.0,60.5,18.51,2.6,33.8,1.0
1201,Transient,A,230.63,404.05,3.43,78.0,82.12,8.16,3.76,23.5,3.0
1202,Normal,C,228.29,322.85,2.45,280.0,56.61,45.08,3.35,38.35,0.0
1203,Normal,C,221.56,313.34,2.42,19.0,67.73,44.46,3.7,27.14,0.0
1204,Transient,A,232.45,393.26,3.87,256.0,56.96,13.71,4.57,20.62,3.0
1205,Sag,A,126.57,179.0,3.14,261.0,73.56,6.53,4.37,29.32,1.0
1206,Normal,B,228.06,322.53,2.8,229.0,34.06,33.37,3.12,21.38,0.0
1207,,A,264.12,373.53,3.18,129.0,94.82,25.75,2.24,29.81,2.0
1208,Normal,C,232.58,328.92,2.55,173.0,48.01,16.37,2.49,22.16,0.0
1209,Normal,C,232.83,329.28,2.47,24.0,18.2,7.21,2.34,30.19,0.0
1210,Swell,C,260.31,368.13,1.45,227.0,49.93,40.78,1.05,30.96,2.0
1211,Harmonics,A,233.74,330.56,6.79,255.0,45.28,45.72,3.24,29.01,4.0
1212,Normal,C,222.3,,1.95,280.0,38.31,36.51,,34.63,0.0
1213,Transient,B,228.64,412.38,4.44,128.0,42.6,38.04,1.42,35.79,3.0
1214,,A,242.36,342.75,5.12,149.0,61.26,44.45,4.71,30.58,2.0
1215,Harmonics,C,238.0,336.59,8.82,213.0,43.4,33.54,,34.45,4.0
1216,Normal,B,224.41,317.37,0.92,74.0,79.81,17.97,2.3,33.58,0.0
1217,Transient,C,221.86,392.92,3.2,259.0,20.94,10.24,1.82,21.69,3.0
1218,Normal,B,237.12,335.34,0.94,296.0,86.88,6.0,3.44,27.36,0.0
1219,Sag,A,145.76,206.14,3.63,251.0,69.65,35.24,2.01,26.5,1.0
1220,Transient,B,223.25,399.98,4.53,95.0,62.23,15.15,1.26,32.52,3.0
1221,Sag,C,154.87,219.02,3.77,19.0,60.55,31.69,2.49,25.6,1.0
1222,Harmonics,C,227.4,321.59,7.09,255.0,44.43,19.66,1.95,30.71,4.0
1223,Sag,B,158.84,224.63,1.63,117.0,41.65,7.83,3.49,23.77,1.0
1224,Transient,A,234.17,414.08,5.18,270.0,64.58,38.99,4.61,38.31,3.0
1225,,B,250.82,354.71,2.96,285.0,13.46,17.38,4.34,25.88,2.0
1226,Normal,B,228.28,322.83,2.93,232.0,35.73,24.22,1.41,29.87,0.0
1227,Transient,A,226.23,367.94,2.28,209.0,94.85,17.02,2.76,35.92,3.0
1228,Normal,A,234.97,332.29,2.23,204.0,12.8,25.76,2.85,30.88,0.0
1229,Swell,A,270.02,381.86,3.1,37.0,40.9,35.08,1.91,26.35,2.0
1230,Harmonics,B,,316.12,5.84,175.0,59.84,37.3,4.59,38.03,4.0
1231,Harmonics,A,229.66,324.79,9.21,78.0,13.06,41.95,,26.76,4.0
1232,Transient,B,231.55,414.03,3.97,153.0,60.7,10.12,1.56,26.0,3.0
1233,Swell,B,265.4,375.33,4.71,251.0,33.62,16.04,4.86,20.16,2.0
1234,Sag,B,153.98,217.76,3.14,216.0,65.14,15.15,4.62,29.5,1.0
1235,,A,227.25,321.38,9.93,144.0,69.79,14.63,2.73,23.95,4.0
1236,Sag,B,147.25,208.25,3.86,157.0,36.6,47.53,4.95,29.47,1.0
1237,Harmonics,A,236.64,334.67,11.88,155.0,75.81,34.9,1.52,32.8,4.0
1238,,C,149.51,211.44,3.92,268.0,78.95,8.08,4.31,,1.0
1239,Harmonics,B,237.02,335.19,9.33,145.0,24.19,31.56,3.97,38.34,4.0
1240,Sag,C,155.88,220.45,2.6,221.0,54.41,10.19,2.75,36.85,1.0
1241,,A,224.38,317.31,9.1,269.0,34.65,31.89,4.2,22.67,4.0
1242,Swell,B,280.13,396.17,3.64,256.0,42.48,5.79,1.77,35.05,2.0
1243,Swell,A,272.3,385.08,2.94,126.0,22.52,14.85,3.31,21.3,
1244,Harmonics,A,238.02,336.61,12.43,151.0,76.99,26.01,1.91,23.99,4.0
1245,Sag,B,148.7,210.3,2.03,92.0,75.22,20.74,2.25,31.96,1.0
1246,Sag,B,134.8,190.64,4.17,32.0,32.85,39.36,3.75,26.46,1.0
1247,Harmonics,C,237.94,,13.59,152.0,63.12,,3.32,30.12,4.0
1248,Transient,B,228.65,419.19,4.0,33.0,84.05,35.4,1.35,33.66,3.0
1249,Normal,A,236.73,334.78,1.68,268.0,73.37,16.71,4.77,30.6,0.0
1250,Sag,A,151.69,214.53,2.25,260.0,10.7,26.39,1.77,32.55,1.0
1251,Harmonics,B,236.65,334.67,9.55,46.0,18.9,10.27,2.2,39.2,4.0
1252,Normal,A,236.39,334.31,1.97,208.0,47.32,5.8,4.45,23.49,0.0
1253,Normal,B,230.85,326.47,1.98,235.0,60.49,11.42,3.23,26.39,0.0
1254,Normal,A,231.58,327.5,1.92,19.0,29.11,43.59,1.23,24.31,0.0
1255,Harmonics,B,230.81,326.42,13.9,257.0,,37.67,2.26,,4.0
1256,Transient,C,235.43,358.21,3.21,235.0,40.91,23.04,4.04,29.65,3.0
1257,Harmonics,A,231.37,327.21,8.86,39.0,14.8,22.94,2.08,39.99,4.0
1258,Normal,B,231.57,327.48,2.52,41.0,19.83,,2.95,30.06,0.0
1259,Swell,B,270.39,382.39,2.27,80.0,22.7,36.92,4.42,33.72,2.0
1260,Harmonics,B,221.73,313.57,14.23,202.0,43.11,20.15,2.01,31.53,4.0
1261,Normal,A,230.17,325.51,2.14,233.0,30.19,20.88,3.58,30.94,0.0
1262,Sag,B,146.32,206.92,2.07,21.0,50.56,24.08,3.04,38.9,1.0
1263,,B,148.88,210.54,3.83,121.0,64.62,30.42,4.44,36.43,
1264,Harmonics,B,,329.5,5.43,15.0,82.75,16.85,1.02,29.91,4.0
1265,Harmonics,A,227.34,321.51,10.28,257.0,42.97,6.66,4.62,22.56,4.0
